epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2618.62,1.0498,4.98682,0.01717,0.55305,0.59414,0.59128,0.38526,1.18553,1.43942,0.03,0.000332821,0.000332821,0.000332821
2,2897.1,1.02241,2.10797,0.0169,0.66667,0.65788,0.67654,0.43827,1.21871,1.16794,0.03043,0.000649667,0.000649667,0.000649667
3,3176.21,0.99831,1.46957,0.01644,0.69857,0.7144,0.74578,0.48872,1.20958,0.97349,0.03048,0.000950013,0.000950013,0.000950013
4,3448.49,0.98983,1.26718,0.01605,0.73274,0.71182,0.77638,0.50321,1.29181,0.94811,0.0349,0.00092575,0.00092575,0.00092575
5,3728.3,0.95512,1.1478,0.01532,0.73951,0.76082,0.79919,0.509,1.32897,0.87515,0.03455,0.000901,0.000901,0.000901
6,4007.53,0.91964,1.07415,0.01478,0.76242,0.75492,0.82319,0.54638,1.18388,0.80015,0.02941,0.00087625,0.00087625,0.00087625
7,4285.17,0.89341,1.00102,0.01407,0.74843,0.78645,0.81745,0.55001,1.16929,0.829,0.0291,0.0008515,0.0008515,0.0008515
8,4561.89,0.8684,0.93578,0.01372,0.81332,0.75735,0.84454,0.57041,1.13397,0.7573,0.02756,0.00082675,0.00082675,0.00082675
9,4832.89,0.84732,0.88324,0.01338,0.81054,0.79309,0.86192,0.59794,1.09692,0.73278,0.02606,0.000802,0.000802,0.000802
10,5113.4,0.83633,0.86886,0.01312,0.82766,0.81079,0.87944,0.60058,1.09855,0.69125,0.02658,0.00077725,0.00077725,0.00077725
11,5391.45,0.81582,0.81533,0.01262,0.80167,0.79465,0.85903,0.58276,1.15023,0.69031,0.02757,0.0007525,0.0007525,0.0007525
12,5668.84,0.7966,0.79454,0.01245,0.83497,0.8263,0.88273,0.59218,1.13592,0.67173,0.02735,0.00072775,0.00072775,0.00072775
13,5947.12,0.79084,0.78174,0.01219,0.8317,0.83241,0.88658,0.60664,1.10284,0.65661,0.02694,0.000703,0.000703,0.000703
14,6227.68,0.77197,0.75502,0.01189,0.8371,0.82826,0.8843,0.60338,1.12754,0.65403,0.02734,0.00067825,0.00067825,0.00067825
15,6500.73,0.77222,0.73545,0.01192,0.83672,0.84081,0.89452,0.61286,1.10195,0.62646,0.02694,0.0006535,0.0006535,0.0006535
16,6779.49,0.76254,0.71526,0.01166,0.84751,0.84921,0.90049,0.6147,1.09063,0.62226,0.02572,0.00062875,0.00062875,0.00062875
17,7059.96,0.74267,0.67675,0.01133,0.85941,0.8693,0.91574,0.62608,1.07991,0.58601,0.0255,0.000604,0.000604,0.000604
18,7338.89,0.7237,0.65005,0.01093,0.83915,0.87013,0.90016,0.6112,1.10514,0.60271,0.02599,0.00057925,0.00057925,0.00057925
19,7615.89,0.72511,0.65301,0.01106,0.8404,0.86945,0.91465,0.63228,1.0638,0.59144,0.02498,0.0005545,0.0005545,0.0005545
20,7889.34,0.71426,0.63157,0.01063,0.83239,0.85929,0.90315,0.62415,1.08327,0.59809,0.02558,0.00052975,0.00052975,0.00052975
21,8161.83,0.70277,0.60734,0.01055,0.86772,0.87006,0.91416,0.63725,1.06597,0.5777,0.02547,0.000505,0.000505,0.000505
22,8433.16,0.68677,0.60369,0.01031,0.86266,0.85716,0.89743,0.62833,1.05952,0.59725,0.02467,0.00048025,0.00048025,0.00048025
23,8710.32,0.68078,0.59422,0.01023,0.86178,0.87002,0.9174,0.64204,1.0454,0.54734,0.02433,0.0004555,0.0004555,0.0004555
24,8986.49,0.66919,0.57427,0.01001,0.85568,0.87194,0.9173,0.63858,1.05695,0.56545,0.02467,0.00043075,0.00043075,0.00043075
25,9260.93,0.65703,0.57084,0.00966,0.87598,0.86514,0.90864,0.63915,1.04236,0.56051,0.02447,0.000406,0.000406,0.000406
26,9540.16,0.64863,0.54676,0.00964,0.87092,0.87606,0.91029,0.6385,1.04931,0.56912,0.02454,0.00038125,0.00038125,0.00038125
27,9818.26,0.64354,0.54353,0.00953,0.87149,0.87901,0.91325,0.63967,1.03154,0.55951,0.02399,0.0003565,0.0003565,0.0003565
28,10095,0.63637,0.53163,0.0094,0.87001,0.87667,0.91496,0.63566,1.04876,0.55611,0.02466,0.00033175,0.00033175,0.00033175
29,10376.5,0.61485,0.52246,0.00906,0.89241,0.89288,0.92569,0.6502,1.03352,0.50708,0.02391,0.000307,0.000307,0.000307
30,10651.2,0.6263,0.50377,0.00907,0.8794,0.88656,0.9195,0.64479,1.03412,0.52966,0.02367,0.00028225,0.00028225,0.00028225
31,10914.2,0.59448,0.33473,0.01188,0.84837,0.87586,0.9052,0.63685,1.04834,0.57175,0.02433,0.0002575,0.0002575,0.0002575
32,11175.7,0.57242,0.29374,0.01124,0.90178,0.8797,0.918,0.6461,1.05951,0.54313,0.02461,0.00023275,0.00023275,0.00023275
33,11436.3,0.55483,0.28437,0.01083,0.88598,0.89412,0.92537,0.65374,1.02892,0.53329,0.02368,0.000208,0.000208,0.000208
34,11696.1,0.54435,0.2726,0.01051,0.89877,0.88067,0.92816,0.6521,1.03348,0.53262,0.02387,0.00018325,0.00018325,0.00018325
35,11959.2,0.53112,0.27076,0.01022,0.88267,0.89428,0.92186,0.6499,1.03405,0.52587,0.02391,0.0001585,0.0001585,0.0001585
36,12219.8,0.51566,0.25359,0.00983,0.89255,0.89609,0.92259,0.65158,1.04339,0.53124,0.02418,0.00013375,0.00013375,0.00013375
37,12479.4,0.5115,0.24697,0.0097,0.90704,0.87969,0.92915,0.65331,1.03349,0.51307,0.02386,0.000109,0.000109,0.000109
38,12741.5,0.50355,0.23954,0.00957,0.87533,0.90259,0.92702,0.65282,1.03588,0.52637,0.02392,8.425e-05,8.425e-05,8.425e-05
39,12997.9,0.49345,0.23039,0.00933,0.90664,0.8744,0.92356,0.65219,1.03528,0.51615,0.024,5.95e-05,5.95e-05,5.95e-05
40,13255.7,0.48951,0.22917,0.00916,0.88327,0.90196,0.92729,0.65367,1.03002,0.52016,0.02384,3.475e-05,3.475e-05,3.475e-05
